domain_id,domain,tld,domain_length,subdomain_count,hyphen_count,digit_count,contains_fifa_keyword,contains_ticket_keyword,contains_official_keyword,contains_stream_keyword,contains_reward_keyword,typosquat_distance_to_fifa,registrar,whois_age_days,is_privacy_protected,ssl_status,ssl_issuer,ssl_valid_days_remaining,ip_address,hosting_country,asn_provider,visual_similarity_score,phishing_probability,malware_signature_match,blacklist_source,social_media_mentions,osint_report_count,redirect_chain_length,has_payment_page,has_login_form,threat_type,risk_score,severity,status,recommended_action,detection_timestamp
DOM00001,worldcup-prize.live,.live,19,0,1,0,1,0,0,1,1,10,Google Domains,112,0,Invalid,Sectigo,0,145.193.14.204,Vietnam,G-Core Labs,29.9,81.1,0,PhishTank,11,4,1,1,1,Phishing,46,Medium,Notified,Flag for Manual Review,2026-03-14 06:55:05
DOM00002,fifatickets.shop,.shop,16,0,0,0,1,1,0,0,0,7,GoDaddy.com LLC,115,1,Invalid,Sectigo,0,234.72.116.101,Germany,DigitalOcean LLC,80.4,78.9,0,PhishTank,5,11,3,0,0,Fake Ticketing,52,Medium,Under Review,Flag for Manual Review,2026-06-24 06:22:41
DOM00003,worldcup.gift27.com,.com,19,1,0,2,1,0,0,0,1,11,NameCheap Inc,40,1,Invalid,DigiCert,0,25.32.83.96,Netherlands,DigitalOcean LLC,70.7,73.6,0,URLhaus,4,8,3,1,1,Phishing,70,High,Pending Block,"Block Domain, Notify Analysts",2026-05-01 14:14:05
DOM00004,fifa-watch.sale,.sale,15,0,1,0,1,0,0,1,0,6,GoDaddy.com LLC,23,1,Expired,Sectigo,0,252.179.253.88,Romania,G-Core Labs,42.0,89.1,0,Google Safe Browsing,14,11,2,0,1,Illegal Streaming,73,High,Blocked,"Block Domain, Notify Analysts",2026-06-19 19:17:43
DOM00005,flfabooking27.org,.org,17,0,0,2,0,1,0,0,0,9,Google Domains,16,0,Expired,Sectigo,0,173.103.140.206,Netherlands,DigitalOcean LLC,56.4,79.6,0,URLhaus,9,4,4,1,1,Fake Ticketing,78,High,Pending Block,"Block Domain, Notify Analysts",2026-06-22 11:59:48
DOM00006,wc2026.store2026.net,.net,20,1,0,8,1,0,0,0,0,14,Namesilo LLC,105,0,Valid,GlobalSign,47,51.239.140.179,Brazil,Hetzner Online GmbH,74.0,57.4,0,Internal OSINT,17,11,4,0,1,Malware Distribution,34,Medium,Notified,Flag for Manual Review,2026-01-08 13:08:19
DOM00007,fifaverified27.net,.net,18,0,0,2,1,0,1,0,0,9,OVH SAS,44,1,Self-Signed,Let's Encrypt,32,244.185.8.108,Russia,Alibaba Cloud,28.9,82.1,0,Google Safe Browsing,3,11,1,1,1,Brand Impersonation,59,Medium,Under Review,Flag for Manual Review,2026-04-24 22:34:41
DOM00008,fifaworldcup-portal.live,.live,24,0,1,0,1,0,0,1,0,7,NameCheap Inc,102,1,Invalid,Let's Encrypt,0,86.169.178.230,Romania,Hetzner Online GmbH,78.4,70.9,0,Google Safe Browsing,8,3,2,1,0,Malware Distribution,49,Medium,Under Review,Flag for Manual Review,2026-05-30 03:55:26
DOM00009,fifaworldcup.stream27.live,.live,26,1,0,2,1,0,0,1,0,9,GoDaddy.com LLC,16,0,Expired,Self-Signed,0,52.207.93.140,Russia,Contabo GmbH,79.2,49.0,0,OpenPhish,17,10,1,1,1,Illegal Streaming,92,Critical,Pending Block,"Block Domain, Notify Analysts",2026-03-02 13:34:21
DOM00010,fifaworldcuplive.site,.site,21,0,0,0,1,0,0,1,0,4,NameCheap Inc,2,1,Valid,Self-Signed,21,215.11.10.175,Romania,Alibaba Cloud,94.7,80.2,1,Internal OSINT,1,3,3,0,1,Illegal Streaming,71,High,Notified,"Block Domain, Notify Analysts",2026-04-20 06:30:06
DOM00011,worldcupverified2026.online,.online,27,0,0,4,1,0,1,0,0,16,Tucows Domains,113,1,Invalid,Sectigo,0,243.178.124.254,India,Hetzner Online GmbH,88.0,47.8,0,PhishTank,8,1,2,1,1,Brand Impersonation,64,High,Blocked,"Block Domain, Notify Analysts",2026-06-30 09:56:41
DOM00012,wc2026.official27.buzz,.buzz,22,1,0,6,1,0,1,0,0,14,Name.com Inc,82,1,Valid,Sectigo,69,217.89.224.152,Ukraine,Contabo GmbH,25.1,68.4,0,Google Safe Browsing,13,10,4,1,0,Brand Impersonation,30,Low,Monitor,Monitor Domain,2026-01-17 02:45:47
DOM00013,fifa.live27.info,.info,16,1,0,2,1,0,0,1,0,7,OVH SAS,1,1,Valid,Not Applicable,71,231.151.24.160,Netherlands,Amazon AWS,84.9,54.6,0,OpenPhish,4,3,1,0,0,Illegal Streaming,57,Medium,Notified,Flag for Manual Review,2026-05-19 07:35:35
DOM00014,fifa.freetv2027.help,.help,20,1,0,4,1,0,0,1,0,10,Name.com Inc,13,1,Valid,Sectigo,30,215.53.52.43,United States,Choopa LLC (Vultr),78.2,59.3,0,Google Safe Browsing,15,9,3,1,1,Illegal Streaming,63,High,Blocked,"Block Domain, Notify Analysts",2026-03-08 06:26:31
DOM00015,worldcup.passes27.club,.club,22,1,0,2,1,1,0,0,0,13,Namesilo LLC,88,1,Valid,Let's Encrypt,55,223.207.187.28,Romania,M247 Ltd,44.4,83.7,1,Internal OSINT,20,11,1,0,1,Fake Ticketing,42,Medium,Notified,Flag for Manual Review,2026-04-14 11:54:21
DOM00016,flfa2026.freetv2026.live,.live,24,1,0,8,0,0,0,1,0,15,Name.com Inc,41,1,Self-Signed,GlobalSign,80,216.92.200.52,Vietnam,Contabo GmbH,81.7,71.9,0,PhishTank,2,12,3,1,0,Illegal Streaming,53,Medium,Under Review,Flag for Manual Review,2026-05-29 07:08:44
DOM00017,fifa2026live2026.net,.net,20,0,0,8,1,0,0,1,0,11,Tucows Domains,48,0,Valid,Not Applicable,77,254.26.251.163,India,G-Core Labs,47.5,93.3,0,Google Safe Browsing,8,8,2,1,0,Illegal Streaming,40,Medium,Under Review,Flag for Manual Review,2026-06-20 05:34:06
DOM00018,wc2026.hub.live,.live,15,1,0,4,1,0,0,1,0,10,Dynadot LLC,39,0,Valid,GlobalSign,63,122.227.80.86,Netherlands,DigitalOcean LLC,62.0,83.6,0,PhishTank,21,8,3,0,1,Malware Distribution,47,Medium,Under Review,Flag for Manual Review,2026-01-08 04:16:52
DOM00019,budweiser.com,.com,13,0,0,0,0,0,0,0,0,8,Porkbun LLC,3079,0,Valid,DigiCert,297,139.217.39.128,Ukraine,OVH SAS,9.8,2.3,0,,2,0,0,1,0,Legitimate,13,Low,Not Flagged,No Action Needed,2026-05-23 18:23:43
DOM00020,wc2026-official27.xyz,.xyz,21,0,1,6,1,0,1,0,0,14,Google Domains,34,0,Valid,Let's Encrypt,37,2.235.196.39,Netherlands,Amazon AWS,65.1,85.9,1,OpenPhish,6,12,4,1,1,Brand Impersonation,62,High,Pending Block,"Block Domain, Notify Analysts",2026-01-25 06:37:07
DOM00021,worldcup-booking2026.xyz,.xyz,24,0,1,4,1,1,0,0,0,16,Dynadot LLC,62,1,Valid,Sectigo,64,124.169.190.174,India,G-Core Labs,87.4,92.0,0,Google Safe Browsing,17,2,4,1,1,Fake Ticketing,37,Medium,Under Review,Flag for Manual Review,2026-04-04 09:56:10
DOM00022,fifa2026.verified2026.live,.live,26,1,0,8,1,0,1,1,0,15,OVH SAS,101,1,Expired,DigiCert,0,132.14.34.174,Netherlands,G-Core Labs,28.3,50.4,0,PhishTank,17,2,3,1,0,Brand Impersonation,53,Medium,Notified,Flag for Manual Review,2026-06-14 11:07:21
DOM00023,fwc2026-giveaway2027.help,.help,25,0,1,8,1,0,0,0,1,17,Dynadot LLC,117,1,Invalid,Not Applicable,0,105.158.31.148,Russia,Hetzner Online GmbH,28.3,55.4,0,Google Safe Browsing,23,4,1,0,0,Phishing,43,Medium,Notified,Flag for Manual Review,2026-01-09 00:05:37
DOM00024,flfastream27.site,.site,17,0,0,2,0,0,0,1,0,8,Dynadot LLC,67,0,Invalid,Let's Encrypt,0,60.53.167.17,China,OVH SAS,71.7,90.0,0,PhishTank,13,4,2,1,1,Illegal Streaming,50,Medium,Notified,Flag for Manual Review,2026-05-10 17:51:59
DOM00025,fwc2026a-stream.cam,.cam,19,0,1,4,1,0,0,1,0,13,Tucows Domains,41,1,Self-Signed,GlobalSign,13,247.168.14.76,Vietnam,M247 Ltd,96.8,96.9,0,Internal OSINT,10,9,0,1,0,Illegal Streaming,71,High,Pending Block,"Block Domain, Notify Analysts",2026-06-06 20:06:13
DOM00026,fwc2026.passes.cam,.cam,18,1,0,4,1,1,0,0,0,12,OVH SAS,105,1,Invalid,Not Applicable,0,182.252.104.250,Indonesia,Choopa LLC (Vultr),51.4,78.3,0,URLhaus,21,6,0,1,0,Fake Ticketing,46,Medium,Under Review,Flag for Manual Review,2026-04-22 02:44:43
DOM00027,tickets.fifa.com,.com,16,1,0,0,1,1,0,0,0,8,Dynadot LLC,8642,0,Valid,GlobalSign,172,239.250.102.94,Vietnam,Alibaba Cloud,12.4,7.5,0,,1,0,0,0,1,Legitimate,1,Low,Not Flagged,No Action Needed,2026-05-31 07:17:59
DOM00028,fifa2026.score.top,.top,18,1,0,4,1,0,0,0,1,9,Namesilo LLC,79,0,Valid,Self-Signed,39,116.51.190.182,Russia,Amazon AWS,66.8,89.2,1,URLhaus,2,12,0,0,1,Phishing,41,Medium,Notified,Flag for Manual Review,2026-03-27 00:35:17
DOM00029,fifa2026.bonus2026.help,.help,23,1,0,8,1,0,0,0,1,13,Name.com Inc,15,1,Invalid,Not Applicable,0,85.241.138.103,Indonesia,Choopa LLC (Vultr),53.7,91.3,1,Google Safe Browsing,2,9,4,1,1,Phishing,87,Critical,Pending Block,"Block Domain, Notify Analysts",2026-02-08 08:10:21
DOM00030,worldcup.prize2026.sale,.sale,23,1,0,4,1,0,0,0,1,14,NameCheap Inc,33,1,Self-Signed,Not Applicable,55,18.227.236.72,Vietnam,M247 Ltd,57.1,67.6,1,PhishTank,10,10,3,0,1,Phishing,81,High,Blocked,"Block Domain, Notify Analysts",2026-03-20 18:03:55
DOM00031,qatarairways.com,.com,16,0,0,0,0,0,0,0,0,10,Google Domains,1995,0,Valid,GlobalSign,274,67.175.247.137,United States,G-Core Labs,9.3,9.3,0,,3,0,0,1,1,Legitimate,6,Low,Not Flagged,No Action Needed,2026-01-10 20:53:08
DOM00032,fifa2026passes.online,.online,21,0,0,4,1,1,0,0,0,10,Google Domains,50,1,Invalid,Let's Encrypt,0,34.167.110.36,Romania,Alibaba Cloud,70.4,62.3,0,Internal OSINT,5,7,4,0,1,Fake Ticketing,72,High,Notified,"Block Domain, Notify Analysts",2026-03-26 06:26:59
